,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
0,4,31,6,161,80,36,12,1,26,69,7.1,1.5,2.6,88,2,7.8,23.1,49.4,26.5
1,21,20,6.75,220,2,36,19,1,4,78,9.2,6.5,1.6,88,8.9,21,17.1,54.1,10.3
2,3,21,6.5,210,47,36,25,3,70,21,0.9,0.7,0.1,92,4.7,13.3,13.8,37.1,3.3
3,17,25,6.8333,237,62,36,19,1,15,52,2.5,2.1,0.6,79,4.9,22,18,42.2,9.3
4,0,30,6.8333,245,30,10,12,1,3,82,15.2,7.3,3.2,94,6.2,18,20.6,56.5,16.5
5,3,31,6.8333,289,70,36,9,1,15,47,12,6.4,1.5,93,5.6,24.4,24.5,50.7,11.4
6,24,25,6.75,215,113,36,15,1,8,82,10.2,6.1,1.7,91,4.5,18.5,16.9,53.3,8.7
7,29,33,6.5,220,62,36,25,3,70,13,5,2.1,1.1,95,0.6,14.9,15.7,49.5,11.2
8,23,23,6.6666,260,15,36,25,3,70,10,2.9,3.8,0.5,89,18.4,38.7,20.1,48.1,9.6
9,28,24,6.5,214,21,36,16,1,12,31,13.3,3.5,2,88,2.3,13.9,25.1,52,14
10,23,23,7.0833,260,58,37,18,1,5,78,9,7.6,1.2,82,10.3,24.8,20.4,48.2,8.7
11,14,28,6.8333,270,105,36,25,3,70,8,2.8,3.5,0.3,86,20.2,12.2,17,34.1,5.3
12,18,28,7.1666,248,70,11,13,1,20,59,6,4.6,0.5,87,9.4,25.7,20.6,51.4,5.9
13,24,24,6.5,210,13,36,18,2,31,81,10.3,2.7,1.2,90,1.4,9.7,16.3,57.2,7.2
14,18,29,6.5,225,0,36,25,3,70,73,4.5,3.4,1,86,3.9,12.6,9.2,57.2,6.3
15,15,33,6.8333,245,70,36,7,1,9,52,5.8,4.3,0.5,91,10.1,22.9,18,59.9,5.4
16,2,29,6.75,240,70,36,10,2,56,79,7.3,6.4,1.7,94,10.4,19.4,13.7,60.2,11
17,9,33,6.9166,273,70,3,9,2,30,53,2.6,2.7,0.7,89,7.9,23,14.7,47.3,10.2
18,8,22,6.9166,279,23,36,17,1,9,81,16.2,14.8,0.8,92,15.3,34.3,24,49.9,4.2
19,9,32,6.5,215,2,36,9,1,9,65,7,4,3.4,104,3.4,12.7,12,56.5,16.5
20,26,40,6.25,200,106,36,4,1,8,39,3.7,1.3,2.2,95,3.6,10.1,16.2,60,27.6
21,20,24,6.5833,210,21,36,18,1,26,70,4.8,3.6,0.7,99,6,11.3,9.3,56.6,3.9
22,1,30,7,245,70,17,11,1,1,46,6.6,2.1,0.4,74,4.7,13.5,23.4,50,5.1
23,9,31,7,260,106,1,10,1,1,70,5.4,7,2.3,104,9.4,25.2,11.6,62.3,14.5
24,10,27,6.25,200,20,36,16,2,46,8,2.8,0.3,0.5,103,2.4,1.5,24.3,50.6,11.8
25,21,26,6.75,250,93,5,17,1,19,56,6.9,3.6,0.4,91,4.5,21.6,20.9,56.7,5
26,17,21,6.6666,199,45,5,19,1,1,81,20.7,3.6,2,89,4.3,7.4,26.9,54.3,9.8
27,27,23,6.6666,245,68,5,18,1,1,19,1.5,1.2,0,77,6.4,29.3,18.1,44.6,0
28,13,23,6.5833,210,95,36,20,2,34,29,4,2.4,0.7,85,1.5,11.6,11,42.7,4.8
29,18,23,6.8333,253,47,36,17,1,1,61,24.3,10.3,1.9,85,6.4,26.2,29.6,55.9,10
30,20,30,6.4166,210,36,36,25,3,70,68,5.6,0.9,0.4,94,1.3,6,17.1,54.3,3.7
31,8,31,6.6666,240,24,36,25,3,70,72,5.3,3.2,0.7,89,3,15.9,12.6,54.3,5.8
32,23,21,6.4166,200,47,36,18,1,29,57,8.9,2.5,2.1,79,2.6,11.4,23.1,49.8,17.4
33,8,29,6.8333,260,115,1,25,3,70,81,6.3,4.7,0.6,85,12.2,22.3,18.7,56.3,7
34,19,30,6.4166,210,103,36,12,1,27,71,12.8,3.7,2,86,1.1,10.9,18.1,53.1,9.7
35,12,23,6.3333,200,28,36,17,1,10,67,8.9,1.9,1.5,87,1.6,8,19.5,52.3,11.6
36,2,25,6.1666,180,100,36,15,1,19,76,15.2,2.9,2.1,94,2,7.3,20,53.8,9.5
37,7,23,6.5833,210,70,11,25,3,70,21,3.6,1.5,0.7,87,3.2,8.7,12.5,49,6.8
38,25,23,6.4166,195,45,36,18,1,7,68,7.8,2.2,1.2,89,2.6,8.3,17.4,53.1,7.6
39,14,33,6.25,205,70,29,9,1,28,44,4.7,1.6,2.6,88,1.3,10.1,17.2,49.6,25.6
40,27,23,6.75,245,70,9,16,1,7,82,5.5,8,0.4,93,11.5,28.1,11.7,58.6,2.5
41,12,27,6.8333,251,77,36,14,1,1,35,21.4,8.4,4.9,97,4.8,22.1,29.2,54.4,25.8
42,26,27,7.25,290,70,28,25,3,70,54,5.5,3.6,0.4,96,16.6,27.5,22.9,66.2,7.2
43,4,21,6.9166,230,4,36,20,1,22,62,7,5.4,0.8,82,11.4,21,20.7,46.9,7.6
44,1,27,6.6666,216,70,8,16,2,31,79,11.2,3.2,1.3,81,1.9,11.8,19.4,55,7.3
