Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
Aaron Brooks,CHI,31,6,161,Oregon,USA,2007,1,26,69,7.1,1.5,2.6,-1.4,2,7.8,23.1,49.4,26.5
Aaron Gordon,ORL,20,6.75,220,Arizona,USA,2014,1,4,78,9.2,6.5,1.6,-1.3,8.9,21,17.1,54.1,10.3
Aaron Harrison,CHA,21,6.5,210,Kentucky,USA,2020,3,70,21,0.9,0.7,0.1,2.2,4.7,13.3,13.8,37.1,3.3
Adreian Payne,MIN,25,6.8333,237,Michigan State,USA,2014,1,15,52,2.5,2.1,0.6,-10.8,4.9,22,18,42.2,9.3
Al Horford,ATL,30,6.8333,245,Florida,Dominican Republic,2007,1,3,82,15.2,7.3,3.2,4.9,6.2,18,20.6,56.5,16.5
Al Jefferson,CHA,31,6.8333,289,None,USA,2004,1,15,47,12,6.4,1.5,3.7,5.6,24.4,24.5,50.7,11.4
Al-Farouq Aminu,POR,25,6.75,215,Wake Forest,USA,2010,1,8,82,10.2,6.1,1.7,1.5,4.5,18.5,16.9,53.3,8.7
Alan Anderson,WAS,33,6.5,220,Michigan State,USA,2020,3,70,13,5,2.1,1.1,5.4,0.6,14.9,15.7,49.5,11.2
Alan Williams,PHX,23,6.6666,260,California-Santa Barbara,USA,2020,3,70,10,2.9,3.8,0.5,-0.2,18.4,38.7,20.1,48.1,9.6
Alec Burks,UTA,24,6.5,214,Colorado,USA,2011,1,12,31,13.3,3.5,2,-2,2.3,13.9,25.1,52,14
Alex Len,PHX,23,7.0833,260,Maryland,Ukraine,2013,1,5,78,9,7.6,1.2,-7.8,10.3,24.8,20.4,48.2,8.7
Alex Stepheson,MEM,28,6.8333,270,USC,USA,2020,3,70,8,2.8,3.5,0.3,-3.8,20.2,12.2,17,34.1,5.3
Alexis Ajinca,NOP,28,7.1666,248,None,France,2008,1,20,59,6,4.6,0.5,-3,9.4,25.7,20.6,51.4,5.9
Allen Crabbe,POR,24,6.5,210,California,USA,2013,2,31,81,10.3,2.7,1.2,0.1,1.4,9.7,16.3,57.2,7.2
