,X,Y
0,-79.9052236848,-69.2230283165
1,-1.85762090996,-78.2715488079
2,-46.8357565646,-21.2164847037
3,-61.8291197007,-52.2184020097
4,-29.8286674776,-82.160481523
5,-69.7776293289,-47.2640934813
6,-112.863867578,-82.2107681936
7,-61.8201255862,-13.229414699
8,-14.7839644749,-10.2501414283
9,-20.8333454048,-31.2936107482
10,-57.8225080115,-78.2468216798
11,-104.774130488,-8.19875222733
12,-69.8152806985,-59.0911221927
13,-12.8673700844,-81.2773842285
14,0.148400643421,-73.2570916004
15,-69.821276066,-52.2216137937
16,-69.8415716474,-79.2278969442
17,-69.7883370662,-53.0474893962
18,-22.8061156241,-81.2737644827
19,-1.8550271214,-65.2797335059
20,-105.853458966,-39.1995898313
21,-20.8630502657,-70.2403526692
22,-69.8120547985,-46.1338184143
23,-105.808701396,-70.0208400874
24,-19.8361162499,-8.24218227181
25,-92.8094585542,-56.0543979767
26,-44.8647992493,-81.1452077776
27,-67.7935652751,-19.0501215435
28,-94.8392456156,-29.2001947974
29,-46.813749694,-61.3156865777
30,-35.8612960059,-68.2419014285
31,-23.8376925009,-72.2495767926
32,-46.8625125772,-57.256966049
33,-114.81476809,-81.0161319334
34,-102.860802946,-71.2381559827
35,-27.8687143684,-67.2653906509
36,-99.8899791827,-76.2478088223
37,-69.8274552206,-21.0850448681
38,-44.8738006895,-68.2451922077
39,-69.8499117327,-44.1931558194
40,-69.8312174892,-82.0640686539
41,-76.8008086071,-35.3121643307
42,-69.7797682872,-54.1931853125
43,-3.8405206351,-62.262109169
44,-69.8530742129,-79.1014839049
45,-69.8227267575,-76.1092166663
46,-29.8521238565,-55.3114970097
47,-71.8284748009,-12.22171602
48,-61.8133899409,-6.21092971269
49,-51.8245716064,-66.2441461068
50,-69.8853041778,-48.2363841322
51,-46.8656092807,-52.3207319098
52,-44.855699978,-72.2298294243
53,-25.8845593674,-51.2358821239
54,-110.866042874,-7.19313801748
55,-94.8026079624,-73.2843801503
56,-69.8211077559,-6.02836228954
57,-82.8676498504,-8.18800695902
58,-43.836103427,-14.2356891159
59,-49.8718271874,-80.3231216222
60,-69.8385906542,-64.2559685937
61,-97.8721302575,-33.2032451645
62,-113.849208425,-23.1847833897
63,-68.787806528,-18.0325645432
64,-65.8771312627,-57.2252594343
65,-83.8075819694,-36.2378649245
